title,release_date,critic_score,audience_score,release_year
Amazing Grace and Chuck,1987,0.43,0.69,1987
The Chipmunk Adventure,"Released May 22, 1987",0.75,0.87,1987
Ernest Goes to Camp,1987,0.62,0.51,1987
Harry and the Hendersons,"Released Jun 5, 1987",0.45,0.54,1987
The Believers,1987,0.35,0.45,1987
Predator,"Released Jun 12, 1987",0.8,0.87,1987
Benji the Hunted,"Released Jun 4, 1987",0.55,0.61,1987
Roxanne,"Released Jun 19, 1987",0.88,0.63,1987
Dragnet,"Released Aug 18, 1954",0.43,0.66,1954
Spaceballs,"Released Jun 4, 1987",0.52,0.83,1987
Straight to Hell,"Released Jun 26, 1987",0.3,0.58,1987
Adventures in Babysitting,1987,0.72,0.7,1987
Innerspace,"Released Jul 1, 1987",0.82,0.65,1987
The Brave Little Toaster,1987,0.77,0.81,1987
Full Metal Jacket,"Released Jun 1, 1987",0.9,0.94,1987
Revenge of the Nerds II: Nerds in Paradise,1987,0.07,0.34,1987
White Water Summer,1987,0.25,0.54,1987
Jaws the Revenge,"Released Jul 17, 1987",0.02,0.15,1987
"Rita, Sue and Bob Too!",1987,0.8,0.82,1987
RoboCop,"Released Feb 12, 2014",0.49,0.49,2014
La Bamba,"Released Jul 24, 1987",0.83,0.78,1987
Superman IV: The Quest for Peace,1987,0.1,0.16,1987
Wish You Were Here,1987,0.85,0.77,1987
The Living Daylights,"Released Jul 31, 1987",0.73,0.66,1987
The Lost Boys,"Released Jul 31, 1987",0.77,0.85,1987
Maid to Order,1987,0.42,0.55,1987
The Spirit,"Released Dec 25, 2008",0.14,0.25,2008
Back to the Beach,"Released Aug 7, 1987",0.78,0.63,1987
Masters of the Universe,"Released Aug 7, 1987",0.21,0.41,1987
Nadine,1987,0.46,0.28,1987
Who's That Girl?,1987,0.33,0.47,1987
Can't Buy Me Love,1987,0.5,0.74,1987
The Monster Squad,"Released Aug 14, 1987",0.56,0.78,1987
Born in East L.A.,1987,0.4,0.61,1987
Dirty Dancing,"Released Aug 25, 1987",0.72,0.9,1987
The Garbage Pail Kids Movie,"Released Aug 22, 1987",0.0,0.27,1987
The Fourth Protocol,1987,0.67,0.55,1987
Hamburger Hill,"Released Aug 28, 1987",1.0,0.72,1987
Matewan,"Released Aug 28, 1987",0.94,0.93,1987
In the Mood,1987,0.67,0.68,1987
Amazon Women on the Moon,1987,0.65,0.58,1987
Hellraiser,"Released Sep 18, 1987",0.7,0.73,1987
Maurice,"Released Sep 18, 1987",0.82,0.87,1987
Orphans,"Released Mar 10, 1998",0.47,0.77,1998
The Pick-Up Artist,"Released Sep 11, 1987",0.58,0.37,1987
The Principal,1987,0.44,0.51,1987
Best Seller,"Released Sep 25, 1987",0.69,0.54,1987
Big Shots,1987,0.6,0.59,1987
Slamdance,1987,0.17,0.52,1987
Chuck Berry Hail! Hail! Rock 'n' Roll,1987,0.89,0.95,1987
The Princess Bride,"Released Oct 1, 1987",0.96,0.94,1987
Someone to Watch Over Me,"Released Oct 9, 1987",0.65,0.41,1987
Three O'Clock High,1987,0.6,0.73,1987
House of Games,"Released Oct 11, 1987",0.97,0.79,1987
Barfly,1987,0.76,0.82,1987
Hope and Glory,"Released Oct 9, 1987",0.96,0.82,1987
Weeds,1987,0.71,0.54,1987
The Whales of August,"Released Oct 16, 1987",0.64,0.67,1987
No Man's Land,"Released Dec 21, 2001",0.93,0.92,2001
Prince of Darkness,"Released Oct 21, 1987",0.63,0.61,1987
The Sicilian,1987,0.1,0.42,1987
Baby Boom,"Released Sep 17, 1987",0.67,0.62,1987
Fatal Beauty,1987,0.2,0.55,1987
The Hidden,"Released Oct 30, 1987",0.76,0.72,1987
Cry Freedom,"Released Nov 6, 1987",0.74,0.87,1987
Death Wish 4: The Crackdown,"Released Nov 6, 1987",0.25,0.4,1987
Hello Again,"Released Nov 6, 1987",0.1,0.49,1987
Hiding Out,1987,0.43,0.7,1987
Less Than Zero,"Released Nov 18, 1987",0.5,0.63,1987
Russkies,"Released Nov 6, 1987",0.14,0.42,1987
Siesta,1987,0.14,0.63,1987
The Running Man,"Released Nov 13, 1987",0.67,0.61,1987
Date With an Angel,"Released Nov 15, 1987",0.11,0.58,1987
Flowers in the Attic,1987,0.2,0.5,1987
The Last Emperor,"Released Nov 18, 1987",0.86,0.88,1987
Nuts,"Released Dec 11, 1987",0.41,0.71,1987
Sign 'o' the Times,1987,0.82,0.91,1987
Teen Wolf Too,1987,0.08,0.18,1987
Housekeeping,"Released Dec 25, 1987",0.93,0.84,1987
"Planes, Trains and Automobiles","Released Nov 27, 1987",0.92,0.87,1987
Walker,1987,0.44,0.66,1987
Throw Momma From the Train,"Released Dec 11, 1987",0.64,0.54,1987
Wall Street,"Released Dec 11, 1987",0.79,0.81,1987
*batteries not Included,1987,0.65,0.64,1987
The Dead,"Released Dec 17, 1987",0.94,0.77,1987
Eddie Murphy Raw,"Released Jan 1, 1987",0.78,0.85,1987
Ironweed,"Released Dec 18, 1987",0.6,0.59,1987
Leonard Part 6,1987,0.07,0.2,1987
Overboard,"Released Dec 16, 1987",0.46,0.74,1987
The Lonely Passion of Judith Hearne,"Released Dec 23, 1987",1.0,0.77,1987
Broadcast News,"Released Dec 16, 1987",0.98,0.79,1987
Empire of the Sun,"Released Dec 9, 1987",0.77,0.9,1987
Pinocchio and the Emperor of the Night,1987,0.43,0.61,1987
Rain Man,"Released Dec 14, 1988",0.88,0.9,1988
Who Framed Roger Rabbit,"Released Jun 21, 1988",0.96,0.85,1988
Coming to America,"Released Jun 29, 1988",0.73,0.85,1988
Big,"Released Jun 3, 1988",0.98,0.82,1988
Die Hard,"Released Jul 15, 1988",0.94,0.94,1988
The Naked Gun,"Released Dec 2, 1988",0.86,0.84,1988
Cocktail,"Released Jul 29, 1988",0.09,0.58,1988
Beetlejuice,"Released Mar 30, 1988",0.86,0.82,1988
Cop,1988,0.83,0.49,1988
The Couch Trip,"Released Jan 8, 1988",0.33,0.44,1988
For Keeps,1988,0.17,0.71,1988
The Serpent and the Rainbow,"Released Jan 15, 1988",0.62,0.57,1988
She's Having a Baby,1988,0.44,0.51,1988
The Unbearable Lightness of Being,"Released Feb 5, 1988",0.87,0.84,1988
Action Jackson,1988,0.19,0.35,1988
Satisfaction,"Released Feb 12, 1988",0.4,0.52,1988
School Daze,"Released Feb 12, 1988",0.58,0.79,1988
The In Crowd,"Released Jul 19, 2000",0.02,0.38,2000
Alien From L.A.,"Released Feb 26, 1988",0.22,0.03,1988
Bloodsport,1988,0.48,0.74,1988
Elevator to the Gallows,"Released Jun 10, 1958",0.93,0.91,1958
Hairspray,"Released Jul 20, 2007",0.92,0.84,2007
And God Created Woman,1956,0.69,0.54,1956
Babette's Feast,"Released Mar 4, 1987",0.97,0.91,1987
Prison,1987,0.4,0.34,1987
Pulse,"Released Aug 11, 2006",0.11,0.27,2006
Switching Channels,1988,0.6,0.32,1988
Masquerade,"Released Jul 30, 2021",0.13,0.29,2021
Off Limits,1988,0.45,0.31,1988
Stand and Deliver,"Released Mar 11, 1988",0.9,0.79,1988
Little Nikita,1988,0.53,0.45,1988
The Milagro Beanfield War,"Released Mar 18, 1988",0.61,0.74,1988
Police Academy 5: Assignment Miami Beach,1988,0.0,0.33,1988
Biloxi Blues,1988,0.76,0.63,1988
Johnny Be Good,"Released Mar 25, 1988",0.0,0.3,1988
The Tracker,"Released Jan 16, 2004",0.88,0.86,2004
Tracker,2010,0.85,0.53,2010
The Seventh Sign,"Released Apr 1, 1988",0.15,0.49,1988
18 Again!,1988,0.29,0.45,1988
Above the Law,"Released Apr 8, 1988",0.5,0.48,1988
Bad Dreams,1988,0.38,0.42,1988
Brain Damage,"Released Apr 22, 1988",0.67,0.64,1988
The Moderns,"Released May 27, 1988",0.81,0.63,1988
The Blue Iguana,1988,0.0,0.38,1988
Casual Sex?,1988,0.31,0.29,1988
Lady in White,"Released Apr 27, 1988",0.71,0.69,1988
Permanent Record,"Released Apr 22, 1988",0.47,0.69,1988
Two Moon Junction,1988,0.0,0.49,1988
The Unholy,1988,0.25,0.45,1988
White Mischief,1987,0.8,0.54,1987
Critters 2: The Main Course,1988,0.38,0.37,1988
Powaqqatsi,"Released May 3, 1988",0.56,0.81,1988
Sunset,"Released Apr 29, 1988",0.21,0.29,1988
The House on Carroll Street,"Released Mar 4, 1988",0.71,0.27,1988
Dead Heat,"Released May 6, 1988",0.11,0.48,1988
Jack's Back,1988,0.71,0.38,1988
Judgment in Berlin,1988,0.2,0.41,1988
Salsa,"Released May 6, 1988",0.2,0.79,1988
Wings of Desire,"Released Jan 1, 1987",0.95,0.93,1987
Maniac Cop,"Released May 13, 1988",0.56,0.41,1988
Aria,"Released Jul 14, 1987",0.57,0.47,1987
Willow,"Released May 20, 1988",0.53,0.8,1988
Rambo III,"Released May 25, 1988",0.41,0.45,1988
Killer Klowns From Outer Space,"Released May 27, 1988",0.78,0.6,1988
Big Business,"Released Jun 10, 1988",0.52,0.69,1988
Poltergeist III,1988,0.16,0.22,1988
The Presidio,1988,0.41,0.33,1988
Bull Durham,"Released Jun 15, 1988",0.97,0.82,1988
The Great Outdoors,1988,0.4,0.71,1988
Waxwork,1988,0.6,0.47,1988
License to Drive,1988,0.24,0.61,1988
Short Circuit 2,1988,0.38,0.54,1988
Arthur 2: On the Rocks,"Released Jul 8, 1988",0.13,0.3,1988
Phantasm II,"Released Jul 8, 1988",0.33,0.57,1988
The Dead Pool,1988,0.53,0.44,1988
Bambi,"Released Aug 21, 1942",0.91,0.73,1942
A Fish Called Wanda,"Released Jul 15, 1988",0.96,0.84,1988
Midnight Run,"Released Jul 11, 1988",0.95,0.87,1988
Big Top Pee-wee,"Released Jul 22, 1988",0.36,0.3,1988
Caddyshack II,"Released Jul 22, 1988",0.04,0.17,1988
Mr. North,1988,0.5,0.38,1988
Monkey Shines,"Released Jul 29, 1988",0.53,0.41,1988
The New Adventures of Pippi Longstocking,1988,0.17,0.68,1988
The Blob,"Released Sep 12, 1958",0.68,0.52,1958
Vibes,1988,0.13,0.62,1988
Clean and Sober,"Released Aug 10, 1988",0.53,0.62,1988
The Last Temptation of Christ,"Released Aug 12, 1988",0.82,0.84,1988
Mac and Me,"Released Aug 12, 1988",0.07,0.38,1988
Tucker: The Man and His Dream,"Released Aug 12, 1988",0.81,0.68,1988
Young Guns,"Released Aug 12, 1988",0.43,0.76,1988
Married to the Mob,"Released Aug 19, 1988",0.88,0.49,1988
A Nightmare on Elm Street 4: The Dream Master,"Released Aug 19, 1988",0.57,0.43,1988
Crossing Delancey,"Released Sep 16, 1988",0.8,0.77,1988
The Thin Blue Line,"Released Aug 25, 1988",1.0,0.9,1988
Hero and the Terror,1988,0.0,0.38,1988
Hot to Trot,"Released Aug 26, 1988",0.0,0.4,1988
Stealing Home,"Released Aug 26, 1988",0.2,0.78,1988
The Deceivers,"Released Sep 2, 1988",0.33,0.64,1988
Eight Men Out,"Released Sep 2, 1988",0.87,0.79,1988
Moon Over Parador,1988,0.42,0.46,1988
Running on Empty,"Released Sep 9, 1988",0.81,0.69,1988
Track 29,"Released Jul 12, 1988",0.63,0.44,1988
War Party,1989,0.0,0.77,1989
Beast,"Released May 11, 2018",0.92,0.73,2018
Miles From Home,1988,0.6,0.59,1988
The Prince of Pennsylvania,1988,0.14,0.49,1988
Dead Ringers,"Released Sep 23, 1988",0.85,0.82,1988
Gorillas in the Mist,"Released Sep 23, 1988",0.84,0.75,1988
Patty Hearst,1988,0.57,0.51,1988
Sweet Hearts Dance,"Released Sep 23, 1988",0.44,0.35,1988
Bird,"Released Sep 30, 1988",0.77,0.79,1988
"Elvira, Mistress of the Dark",1988,0.56,0.66,1988
Heartbreak Hotel,1988,0.38,0.49,1988
Alien Nation,"Released Oct 7, 1988",0.53,0.44,1988
Clara's Heart,"Released Oct 7, 1988",0.47,0.59,1988
Imagine: John Lennon,1988,0.91,0.91,1988
Punchline,"Released Sep 7, 1988",0.6,0.43,1988
Another Woman,1988,0.59,0.75,1988
Madame Sousatzka,1988,0.78,0.65,1988
Night of the Demons,"Released Oct 14, 1988",0.43,0.58,1988
Pumpkinhead,"Released Jan 13, 1988",0.65,0.49,1988
Halloween 4: The Return of Michael Myers,"Released Oct 21, 1988",0.39,0.53,1988
Mystic Pizza,"Released Oct 14, 1988",0.78,0.55,1988
Tapeheads,1988,0.6,0.46,1988
Things Change,1988,0.85,0.8,1988
Without a Clue,"Released Oct 20, 1988",0.62,0.72,1988
Everybody's All-American,1988,0.44,0.47,1988
The Good Mother,"Released Sep 1, 2023",0.22,0.35,2023
The Good Mother,"Released Nov 4, 1988",0.54,0.28,1988
U2 Rattle and Hum,"Released Jan 1, 1988",0.62,0.86,1988
They Live,"Released Nov 23, 1988",0.86,0.8,1988
Ernest Saves Christmas,"Released Nov 11, 1988",0.36,0.43,1988
Far North,2007,0.86,0.46,2007
Spike of Bensonhurst,1988,0.5,0.62,1988
Scooby and the Reluctant Werewolf,1988,0.2,0.61,1988
Cherry 2000,1988,0.38,0.41,1988
The Chocolate War,"Released Nov 18, 1988",0.85,0.67,1988
Fresh Horses,"Released Nov 18, 1988",0.0,0.33,1988
High Spirits,1988,0.31,0.58,1988
The Land Before Time,"Released Nov 18, 1988",0.65,0.79,1988
1969,1988,0.55,0.44,1988
Oliver & Company,"Released Nov 18, 1988",0.53,0.62,1988
Cocoon: The Return,"Released Nov 23, 1988",0.31,0.34,1988
Full Moon in Blue Water,"Released Nov 23, 1988",0.27,0.25,1988
Scrooged,"Released Nov 23, 1988",0.71,0.71,1988
Dakota,"Released Apr 1, 2022",0.22,0.67,2022
Tequila Sunrise,"Released Dec 2, 1988",0.53,0.4,1988
Watchers,1988,0.0,0.31,1988
Mississippi Burning,"Released Jan 27, 1989",0.79,0.9,1989
My Stepmother Is an Alien,"Released Dec 3, 1988",0.2,0.3,1988
Dirty Rotten Scoundrels,1988,0.89,0.84,1988
I'm Gonna Git You Sucka,"Released Dec 1, 1988",0.62,0.7,1988
Torch Song Trilogy,1988,0.77,0.91,1988
Beaches,"Released Dec 21, 1988",0.42,0.88,1988
Talk Radio,"Released Dec 23, 1988",0.82,0.8,1988
Working Girl,"Released Dec 21, 1988",0.83,0.67,1988
The Accidental Tourist,"Released Jan 6, 1989",0.82,0.6,1989
The Boost,"Released Dec 23, 1989",0.4,0.49,1989
Dominick and Eugene,1988,0.78,0.73,1988
Hellbound: Hellraiser II,1988,0.53,0.58,1988
Indiana Jones and the Last Crusade,"Released May 24, 1989",0.84,0.94,1989
Lethal Weapon 2,"Released Jul 7, 1989",0.82,0.78,1989
Look Who's Talking,1989,0.58,0.47,1989
"Honey, I Shrunk the Kids","Released Jun 23, 1989",0.76,0.54,1989
Driving Miss Daisy,"Released Dec 13, 1989",0.85,0.81,1989
Parenthood,"Released Jul 31, 1989",0.92,0.76,1989
Dead Poets Society,"Released Jun 2, 1989",0.84,0.92,1989
DeepStar Six,"Released Jan 13, 1989",0.15,0.27,1989
Gleaming the Cube,"Released Jan 13, 1989",0.29,0.68,1989
The January Man,1988,0.28,0.29,1988
Parents,"Released Jan 27, 1989",0.63,0.54,1989
Physical Evidence,1989,0.22,0.11,1989
Three Fugitives,1989,0.14,0.5,1989
Her Alibi,"Released Feb 3, 1989",0.17,0.44,1989
Kinjite: Forbidden Subjects,"Released Feb 3, 1989",0.0,0.35,1989
Who's Harry Crumb?,"Released Feb 3, 1989",0.27,0.46,1989
Cousins,"Released Feb 10, 1989",0.56,0.68,1989
The Fly II,1989,0.33,0.24,1989
Tap,1989,0.56,0.7,1989
Bill & Ted's Excellent Adventure,"Released Feb 17, 1989",0.83,0.75,1989
The 'Burbs,"Released Feb 17, 1989",0.56,0.71,1989
The Mighty Quinn,"Released Feb 17, 1989",0.89,0.48,1989
True Believer,"Released Feb 17, 1989",0.96,0.63,1989
"Bert Rigby, You're a Fool",1989,0.4,0.58,1989
Pepper's Pow Wow,1996,1.0,0.85,1996
Dream a Little Dream,"Released Mar 3, 1989",0.09,0.67,1989
Farewell to the King,"Released Mar 3, 1989",0.55,0.54,1989
Lean on Me,"Released Mar 3, 1989",0.68,0.85,1989
The Adventures of Baron Munchausen,"Released Mar 10, 1989",0.9,0.82,1989
Chances Are,"Released Mar 10, 1989",0.67,0.65,1989
Jacknife,1989,0.64,0.48,1989
New York Stories,"Released Mar 10, 1989",0.76,0.56,1989
Police Academy 6: City Under Siege,1989,0.0,0.28,1989
Fletch Lives,"Released Mar 17, 1989",0.35,0.55,1989
Leviathan,1989,0.23,0.27,1989
Rooftops,1989,0.1,0.36,1989
976-EVIL,"Released Mar 22, 1989",0.15,0.28,1989
Dead Bang,1989,0.33,0.44,1989
Troop Beverly Hills,"Released Mar 22, 1989",0.14,0.62,1989
Heathers,"Released Mar 31, 1989",0.95,0.83,1989
Cyborg,"Released Apr 7, 1989",0.22,0.31,1989
Dead Calm,"Released Apr 7, 1989",0.84,0.63,1989
The Dream Team,1989,0.5,0.61,1989
Major League,"Released Apr 7, 1989",0.83,0.84,1989
Disorganized Crime,"Released Apr 14, 1989",0.43,0.58,1989
Say Anything...,"Released Apr 14, 1989",0.98,0.85,1989
She's Out of Control,"Released Apr 14, 1989",0.11,0.52,1989
Winter People,1989,0.2,0.52,1989
Checking Out,2005,0.43,0.58,2005
Field of Dreams,"Released Apr 21, 1989",0.88,0.86,1989
Pet Sematary,"Released Apr 21, 1989",0.56,0.6,1989
Red Scorpion,1989,0.17,0.35,1989
See You in the Morning,"Released Apr 21, 1989",0.55,0.35,1989
Speed Zone!,1989,0.0,0.37,1989
Teen Witch,"Released Mar 15, 1990",0.43,0.74,1990
Criminal Law,1988,0.33,0.27,1988
The Horror Show,1989,0.0,0.27,1989
K-9,1989,0.3,0.44,1989
Miss Firecracker,"Released Apr 28, 1989",0.75,0.52,1989
How to Get Ahead in Advertising,"Released May 5, 1989",0.6,0.77,1989
Listen to Me,1989,0.2,0.69,1989
Lost Angels,1989,0.4,0.66,1989
Earth Girls Are Easy,"Released May 12, 1989",0.68,0.43,1989
The Rachel Papers,1989,0.45,0.53,1989
"See No Evil, Hear No Evil",1989,0.27,0.72,1989
For Queen and Country,"Released May 19, 1988",0.29,0.28,1988
How I Got Into College,1989,0.5,0.42,1989
Miracle Mile,1988,0.91,0.73,1988
Road House,2024,0.59,0.53,2024
Pink Cadillac,1989,0.24,0.25,1989
No Holds Barred,"Released Jun 2, 1989",0.1,0.34,1989
Scenes From the Class Struggle in Beverly Hills,1989,0.78,0.61,1989
Vampire's Kiss,"Released Jun 2, 1989",0.65,0.54,1989
Star Trek V: The Final Frontier,"Released Jun 9, 1989",0.23,0.25,1989
Do the Right Thing,"Released Jun 30, 1989",0.92,0.89,1989
Great Balls of Fire!,1989,0.63,0.53,1989
The Karate Kid Part III,1989,0.15,0.35,1989
Weekend at Bernie's,1989,0.54,0.57,1989
Licence to Kill,"Released Jul 14, 1989",0.8,0.61,1989
UHF,"Released Jul 21, 1989",0.63,0.77,1989
When Harry Met Sally...,"Released Jul 12, 1989",0.89,0.89,1989
Turner & Hooch,1989,0.52,0.51,1989
Young Einstein,1988,0.36,0.5,1988
The Abyss,2023,0.8,0.25,2023
The Abyss,"Released Aug 9, 1989",0.89,0.83,1989
A Nightmare on Elm Street 5: The Dream Child,"Released Aug 11, 1989",0.31,0.31,1989
Uncle Buck,"Released Aug 16, 1989",0.62,0.77,1989
Casualties of War,"Released Aug 18, 1989",0.84,0.75,1989
Cheetah,"Released Aug 18, 1989",0.43,0.54,1989
Cookie,1989,0.13,0.37,1989
"Sex, Lies, and Videotape","Released Aug 4, 1989",0.96,0.79,1989
Little Monsters,"Released Aug 25, 1989",0.44,0.62,1989
The Package,1989,0.68,0.44,1989
Wired,1989,0.04,0.15,1989
Shirley Valentine,"Released Aug 30, 1989",0.72,0.86,1989
Relentless,1989,0.5,0.33,1989
Sea of Love,1989,0.75,0.66,1989
Black Rain,"Released Sep 22, 1989",0.54,0.55,1989
Penn & Teller Get Killed,1989,0.25,0.58,1989
In Country,1989,0.68,0.35,1989
Johnny Handsome,1989,0.6,0.47,1989
Old Gringo,"Released Oct 6, 1989",0.46,0.45,1989
Puppet Master,1989,0.43,0.4,1989
Breaking In,1989,0.8,0.43,1989
Crimes and Misdemeanors,"Released Oct 13, 1989",0.92,0.91,1989
The Fabulous Baker Boys,"Released Oct 13, 1989",0.97,0.7,1989
Halloween 5: The Revenge of Michael Myers,"Released Oct 13, 1989",0.12,0.36,1989
"I, Madman",1989,0.67,0.4,1989
Drugstore Cowboy,"Released Oct 6, 1989",0.97,0.85,1989
Fat Man and Little Boy,"Released Oct 20, 1989",0.5,0.46,1989
Gross Anatomy,"Released Oct 20, 1987",0.36,0.53,1987
When the Whales Came,1989,0.6,0.86,1989
Immediate Family,"Released Oct 27, 1989",0.54,0.55,1989
Dad,"Released Oct 27, 1989",0.58,0.61,1989
Shocker,"Released Oct 27, 1989",0.3,0.31,1989
Worth Winning,1989,0.0,0.42,1989
The Phantom of the Opera,"Released Jan 21, 2005",0.33,0.84,2005
Stepfather II,"Released Nov 3, 1989",0.13,0.35,1989
Communion,"Released Nov 10, 1989",0.43,0.46,1989
My Left Foot,"Released Nov 10, 1989",0.98,0.92,1989
Staying Together,"Released Nov 10, 1989",0.8,0.55,1989
Steel Magnolias,"Released Nov 15, 1989",0.73,0.89,1989
All Dogs Go to Heaven,"Released Nov 17, 1989",0.44,0.63,1989
Harlem Nights,"Released Nov 17, 1989",0.26,0.8,1989
Prancer,"Released Nov 17, 1989",0.67,0.58,1989
Valmont,"Released Nov 17, 1989",0.48,0.69,1989
National Lampoon's Christmas Vacation,"Released Dec 1, 1989",0.7,0.86,1989
She-Devil,"Released Dec 8, 1989",0.48,0.49,1989
Triumph of the Spirit,"Released Dec 8, 1989",0.63,0.52,1989
The War of the Roses,1989,0.83,0.71,1989
"Enemies, a Love Story","Released Dec 13, 1989",0.89,0.54,1989
Blaze,"Released Dec 13, 1989",0.75,0.49,1989
Family Business,1989,0.35,0.28,1989
The Wizard,"Released Dec 15, 1989",0.27,0.59,1989
Born on the Fourth of July,"Released Dec 20, 1989",0.84,0.76,1989
Roger & Me,"Released Dec 20, 1989",1.0,0.79,1989
Camille Claudel,"Released Dec 21, 1989",0.92,0.88,1989
Always,"Released Dec 22, 1989",0.68,0.58,1989
Tango & Cash,1989,0.31,0.52,1989
Home Alone,"Released Nov 16, 1990",0.66,0.8,1990
Dances With Wolves,"Released Nov 21, 1990",0.87,0.87,1990
Pretty Woman,"Released Mar 23, 1990",0.65,0.68,1990
TMNT,"Released Mar 23, 2007",0.36,0.6,2007
The Hunt for Red October,"Released Feb 2, 1990",0.88,0.88,1990
Total Recall,"Released Jun 1, 1990",0.82,0.79,1990
Die Hard 2,"Released Jul 4, 1990",0.69,0.7,1990
Kindergarten Cop,"Released Dec 21, 1990",0.54,0.52,1990
Henry: Portrait of a Serial Killer,1986,0.89,0.71,1986
Internal Affairs,"Released Jan 12, 1990",0.79,0.59,1990
Brain Dead,"Released Jan 19, 1990",0.17,0.68,1990
Everybody Wins,1990,0.13,0.35,1990
Tremors,"Released Jan 19, 1990",0.88,0.75,1990
Heart Condition,1990,0.1,0.34,1990
Men Don't Leave,"Released Feb 2, 1990",0.83,0.62,1990
Stella,1990,0.29,0.76,1990
Hard to Kill,1990,0.33,0.47,1990
Loose Cannons,1990,0.0,0.27,1990
Stanley & Iris,1990,0.29,0.49,1990
Revenge,1971,0.0,0.12,1971
Cinema Paradiso,"Released Feb 23, 1988",0.91,0.96,1988
Mountains of the Moon,"Released Feb 23, 1990",0.65,0.77,1990
Nightbreed,1990,0.53,0.6,1990
Bad Influence,"Released Mar 9, 1990",0.65,0.51,1990
Coupe de Ville,"Released Mar 9, 1990",0.25,0.72,1990
The Handmaid's Tale,1990,0.32,0.43,1990
House Party,"Released Mar 9, 1990",0.94,0.81,1990
Joe Versus the Volcano,1990,0.67,0.54,1990
Love at Large,1990,0.78,0.44,1990
Blind Fury,1989,0.53,0.51,1989
The Forbidden Dance,1990,0.23,0.77,1990
Lord of the Flies,"Released Mar 16, 1990",0.55,0.52,1990
Nuns on the Run,1990,0.42,0.53,1990
Opportunity Knocks,"Released Mar 30, 1990",0.11,0.47,1990
Backtrack,"Released Apr 3, 1990",0.4,0.24,1990
"The Cook, the Thief, His Wife and Her Lover","Released Apr 6, 1990",0.86,0.88,1990
Ernest Goes to Jail,"Released Apr 6, 1990",0.11,0.49,1990
The First Power,1990,0.25,0.46,1990
I Love You to Death,"Released Apr 6, 1990",0.58,0.62,1990
Crazy People,1990,0.35,0.62,1990
Vital Signs,1990,0.43,0.31,1990
Chattahoochee,1989,0.11,0.51,1989
Lisa,"Released Apr 20, 1990",0.5,0.49,1990
Miami Blues,"Released Apr 20, 1990",0.85,0.62,1990
The Guardian,"Released Sep 29, 2006",0.37,0.8,2006
Spaced Invaders,"Released Apr 27, 1990",0.08,0.51,1990
Wild Orchid,1989,0.09,0.44,1989
Last Exit to Brooklyn,"Released May 4, 1989",0.67,0.74,1989
Short Time,1990,0.29,0.54,1990
Tales From the Darkside: The Movie,"Released May 4, 1990",0.46,0.45,1990
Without You I'm Nothing,1990,0.73,0.72,1990
The Big Bang,"Released May 13, 2011",0.19,0.25,2011
The Big Bang,"Released May 11, 1990",0.8,0.45,1990
Class of 1999,"Released May 11, 1990",0.63,0.5,1990
Longtime Companion,"Released May 11, 1990",0.91,0.83,1990
Bird on a Wire,1990,0.25,0.41,1990
Cadillac Man,"Released May 18, 1990",0.58,0.32,1990
Strapless,1989,0.36,0.2,1989
Fire Birds,1990,0.09,0.35,1990
Jesus of Montreal,"Released May 25, 1989",0.69,0.87,1989
Frankenhooker,1990,0.6,0.58,1990
Another 48 HRS.,1990,0.19,0.35,1990
The Adventures of Milo and Otis,"Released Aug 25, 1989",0.8,0.74,1989
Gremlins 2: The New Batch,"Released Jun 15, 1990",0.71,0.59,1990
Betsy's Wedding,"Released Jun 22, 1990",0.56,0.39,1990
RoboCop 2,1990,0.28,0.36,1990
Days of Thunder,"Released Jun 27, 1990",0.38,0.6,1990
Ghost Dad,1990,0.06,0.32,1990
Jetsons: The Movie,"Released Jul 6, 1990",0.27,0.45,1990
The Adventures of Ford Fairlane,"Released Jul 11, 1990",0.25,0.68,1990
Quick Change,"Released Jul 13, 1990",0.84,0.71,1990
Arachnophobia,1990,0.93,0.55,1990
The Freshman,"Released Sep 20, 1925",0.95,0.78,1925
The Freshman,"Released Jul 20, 1990",0.94,0.61,1990
Presumed Innocent,1990,0.86,0.67,1990
Problem Child,1990,0.0,0.42,1990
"DuckTales, the Movie: Treasure of the Lost Lamp","Released Aug 3, 1990",1.0,0.69,1990
Metropolitan,"Released Aug 3, 1990",0.93,0.84,1990
Mo' Better Blues,"Released Aug 3, 1990",0.71,0.75,1990
Air America,"Released Aug 10, 1990",0.13,0.34,1990
Flatliners,"Released Aug 10, 1990",0.5,0.59,1990
The Two Jakes,"Released Aug 10, 1990",0.63,0.39,1990
My Blue Heaven,"Released Aug 17, 1990",0.71,0.59,1990
Taking Care of Business,"Released Aug 17, 1990",0.33,0.52,1990
Wild at Heart,"Released Aug 17, 1990",0.65,0.81,1990
"After Dark, My Sweet","Released Aug 24, 1990",0.8,0.62,1990
Darkman,"Released Aug 24, 1990",0.83,0.59,1990
The Witches,"Released Feb 16, 1990",0.94,0.7,1990
The Lemon Sisters,1989,0.11,0.19,1989
"Mirror, Mirror",1990,0.8,0.31,1990
Death Warrant,1990,0.0,0.35,1990
Hardware,"Released Sep 14, 1990",0.46,0.52,1990
Postcards From the Edge,"Released Sep 12, 1990",0.83,0.66,1990
Repossessed,"Released Sep 14, 1990",0.0,0.63,1990
State of Grace,1990,0.85,0.83,1990
